p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
4.7487013677772485e-133,1.691514052743183,0.963,0.78,1.7380721876201506e-128,0,FOS
3.885940042334739e-130,1.3761517651077817,0.976,0.91,1.422292914894938e-125,0,JUN
1.3728586815569376e-129,2.74240543180959,0.677,0.208,5.024800060366547e-125,0,EGR1
4.358793614139023e-121,1.6576488648114496,0.92,0.68,1.5953620507110236e-116,0,IER2
2.5594614716050595e-117,2.7577662570688326,0.737,0.326,9.367884932221678e-113,0,DUSP2
5.718448068265399e-115,1.0249873473011881,0.987,0.867,2.0930091774658186e-110,0,NFKBIA
6.480162958341175e-113,1.279242516500556,0.954,0.865,2.3718044443824533e-108,0,DUSP1
1.6013610495284214e-79,1.2851927070521074,0.844,0.569,5.861141577378975e-75,0,PMAIP1
2.813965057790463e-78,0.7989549224514572,0.965,0.88,1.0299393508018874e-73,0,PPP1R15A
2.884074156887463e-74,0.695751577436575,0.975,0.922,1.0555999821623803e-69,0,H3F3B
1.495509936108084e-72,1.0991135156051635,0.94,0.824,5.473715917149199e-68,0,ZFP36
9.735897171609154e-70,0.9607186304350157,0.936,0.771,3.5634357237806666e-65,0,JUNB
2.1226201591097246e-63,1.5746860030760026,0.647,0.329,7.769002044357503e-59,0,GADD45B
9.729685018654231e-63,1.189747730801689,0.795,0.526,3.561162013677635e-58,0,IER5
1.3267295310301857e-62,1.0415071105516662,0.781,0.471,4.8559627565235824e-58,0,RHOB
4.33426850025464e-62,0.8277754722567008,0.93,0.791,1.5863856137782007e-57,0,SRSF7
1.4975968929533995e-61,1.391843264890903,0.666,0.338,5.481354387898738e-57,0,KMT2E-AS1
2.2405515256978742e-55,0.559330281757954,0.992,0.975,8.20064263920679e-51,0,JUND
1.1488359438556502e-52,1.3697604566562478,0.694,0.416,4.204854438106065e-48,0,BTG2
4.644665164379919e-50,0.8992932891863412,0.88,0.624,1.699993896814694e-45,0,FOSB
7.438658036399584e-50,1.6086714988854696,0.509,0.226,2.7226232279026117e-45,0,AL691403.1
2.1353018541896717e-49,0.7986133824907342,0.905,0.717,7.815418316519617e-45,0,RSRP1
3.285589654823455e-48,1.3099540047429277,0.643,0.36,1.2025586695619326e-43,0,NFKBIZ
7.397373575017472e-48,1.2568072011192588,0.568,0.274,2.7075127021921446e-43,0,SERTAD1
1.0535486770167371e-47,1.2890083457013413,0.632,0.353,3.8560935127489594e-43,0,MARCKSL1
1.957969813603135e-47,1.3719167019792011,0.627,0.346,7.166365314768834e-43,0,SNHG25
2.9351254447151008e-46,0.9393668418016052,0.832,0.608,1.074285264020174e-41,0,DNAJA1
4.197878097772477e-46,1.5946696481339369,0.516,0.245,1.5364653625657044e-41,0,DNAJB1
8.778141873442318e-46,1.563709384408923,0.411,0.152,3.212887707098623e-41,0,SREBF2-AS1
2.1714667438772317e-45,0.720121717804191,0.901,0.737,7.947785429265056e-41,0,EIF5
1.414575968860115e-44,0.6504511953568226,0.926,0.787,5.1774895036249075e-40,0,CCNL1
2.2756859811021286e-43,1.4775137763443904,0.687,0.421,8.329238259431901e-39,0,TEX14
2.7008046655355413e-42,1.27417577816884,0.581,0.305,9.885215156326634e-38,0,INTS6
2.3816816662294425e-41,2.2120584835709716,0.329,0.112,8.717193066566382e-37,0,TNF
2.731319968729457e-41,1.002616437008641,0.7,0.445,9.996904217546686e-37,0,YME1L1
3.095694257348669e-39,0.39405785549175043,0.988,0.974,1.1330550551321864e-34,0,EIF1
5.733753074075372e-39,1.6873239195440584,0.353,0.129,2.098610962642327e-34,0,CSKMT
7.690680305465784e-39,0.5571920827042258,0.94,0.858,2.8148658986035317e-34,0,KLF2
2.113569620082633e-37,0.9704832858028584,0.746,0.506,7.735876166464444e-33,0,SNHG9
2.8671172659390745e-36,1.489112687656279,0.424,0.186,1.0493935905063607e-31,0,PPP1R10
1.2239943943729037e-35,2.0283970361642947,0.313,0.11,4.479941882844265e-31,0,AC012447.1
4.6946287825665387e-35,1.4652514037201092,0.38,0.156,1.7182810807071787e-30,0,AL121944.1
1.54284041203569e-34,0.7546549891273253,0.841,0.66,5.646950192091829e-30,0,ZFP36L1
